ticker,day,direction,entry_ts,entry_hhmm,entry_spot,strike,right,entry_ask,entry_mid,tp1_hit,tp1_t,tp1_price,tp2_hit,tp2_t,tp2_price,ema_add_hit,ema_add_t,ema_add_ask,stopped_out,stop_t,exit_kind,exit_t,exit_price,realized_pct,mfe_pct,pml,pmh
SPY,2026-03-30,BULLISH,1774890900,13:15,634.0850219726562,634,C,1.6,1.5950000000000002,False,,,False,,,False,,,True,13:34,STOP,13:34,0.79,-50.625,-0.31249999999999334,634.03,641.46
QQQ,2026-03-30,BULLISH,1774878900,09:55,562.3699951171875,562,C,3.17,3.16,False,,,False,,,False,,,True,12:24,STOP,12:24,1.57,-50.473186119873816,25.0788643533123,562.15,568.89
SPY,2026-03-31,BEARISH,1774964100,09:35,639.8991088867188,640,P,2.65,2.6399999999999997,False,,,False,,,False,,,True,10:00,STOP,10:00,1.3,-50.943396226415096,7.547169811320753,631.97,640.17
QQQ,2026-03-31,BEARISH,1774963800,09:30,566.1099853515625,566,P,2.93,2.9000000000000004,False,,,False,,,False,,,True,09:54,STOP,09:54,1.45,-50.51194539249148,11.43344709897609,557.862,565.6
SPY,2026-04-01,BEARISH,1775057700,11:35,657.0996704101562,657,P,1.67,1.665,False,,,False,,,False,,,True,11:58,STOP,11:58,0.82,-50.898203592814376,-0.29940119760478723,650.34,657.5
QQQ,2026-04-01,BEARISH,1775054100,10:35,584.4349975585938,584,P,2.2,2.1950000000000003,False,,,False,,,False,,,True,10:54,STOP,10:54,1.09,-50.45454545454545,7.272727272727275,576.748,585.24
SPY,2026-04-02,BEARISH,1775140500,10:35,656.4500122070312,656,P,4.52,4.5,False,,,False,,,False,,,True,11:13,STOP,11:13,2.22,-50.88495575221238,-0.4424778761061843,639.265,655.24
QQQ,2026-04-02,BULLISH,1775137200,09:40,572.6699829101562,573,C,2.08,2.065,True,09:55,4.33,True,10:16,6.43,False,,,False,,TRAIL,10:42,10.2,203.96634615384613,498.55769230769226,571.64,584.748
QQQ,2026-04-02,BEARISH,1775140500,10:35,584.7000122070312,585,P,5.56,5.5,False,,,False,,,False,,,True,10:59,STOP,10:59,2.76,-50.35971223021583,-1.0791366906474753,571.64,584.748
SPY,2026-04-06,BEARISH,1775483700,09:55,658.530029296875,659,P,2.73,2.715,False,,,False,,,False,,,True,14:22,STOP,14:22,1.31,-52.01465201465201,35.53113553113554,653.215,658.73
QQQ,2026-04-06,BULLISH,1775495400,13:10,585.260009765625,585,C,2.15,2.135,False,,,False,,,False,,,False,,EOD,15:55,2.9,34.883720930232556,63.48837209302325,584.542,589.33
QQQ,2026-04-06,BEARISH,1775483400,09:50,588.9000244140625,589,P,2.37,2.3600000000000003,False,,,False,,,False,,,True,14:51,STOP,14:51,1.14,-51.8987341772152,84.17721518987342,584.542,589.33
SPY,2026-04-07,BULLISH,1775569500,09:45,654.5800170898438,655,C,2.14,2.13,False,,,False,,,False,,,True,10:09,STOP,10:09,1.0,-53.27102803738318,14.252336448598136,653.91,660.37
QQQ,2026-04-07,BULLISH,1775570100,09:55,582.6900024414062,583,C,3.07,3.0549999999999997,False,,,False,,,False,,,True,10:06,STOP,10:06,1.43,-53.420195439739416,-0.48859934853420217,582.97,589.9
QQQ,2026-04-08,BEARISH,1775655000,09:30,607.75,608,P,2.2,2.18,True,10:54,4.515000000000001,False,,,False,,,False,,TRAIL,11:36,3.46,81.25,158.86363636363635,587.18,610.07
SPY,2026-04-09,BEARISH,1775742000,09:40,675.5377197265625,676,P,1.91,1.9,False,,,False,,,False,,,True,11:20,STOP,11:20,0.91,-52.35602094240838,31.675392670157066,672.87,676.01
QQQ,2026-04-09,BULLISH,1775744700,10:25,603.5349731445312,604,C,1.37,1.3650000000000002,True,11:20,2.8449999999999998,True,11:49,4.405,False,,,False,,TRAIL,12:36,4.88,173.2664233576642,362.7737226277372,602.9,606.544
QQQ,2026-04-09,BEARISH,1775741400,09:30,604.6199951171875,605,P,1.47,1.455,False,,,False,,,False,,,True,11:16,STOP,11:16,0.72,-51.02040816326531,74.14965986394554,602.9,606.544
SPY,2026-04-10,BULLISH,1775836500,11:55,679.4600219726562,679,C,1.59,1.585,False,,,False,,,False,,,True,13:07,STOP,13:07,0.78,-50.943396226415096,5.660377358490565,678.91,682.46
QQQ,2026-04-10,BEARISH,1775827800,09:30,612.3099975585938,612,P,1.62,1.5950000000000002,False,,,False,,,False,,,True,11:13,STOP,11:13,0.78,-51.85185185185185,28.08641975308641,609.06,613.02
SPY,2026-04-13,BEARISH,1776088200,09:50,678.6599731445312,679,P,1.79,1.7850000000000001,False,,,False,,,False,,,True,10:45,STOP,10:45,0.83,-53.63128491620112,13.407821229050288,670.53,679.46
QQQ,2026-04-13,BEARISH,1776087900,09:45,610.760009765625,611,P,3.05,3.02,False,,,False,,,False,,,True,10:00,STOP,10:00,1.26,-58.68852459016393,7.049180327868854,602.68,611.07
SPY,2026-04-14,BEARISH,1776173400,09:30,688.47998046875,688,P,1.27,1.26,False,,,False,,,False,,,True,09:45,STOP,09:45,0.63,-50.39370078740157,-0.7874015748031482,670.0,688.88
QQQ,2026-04-14,BEARISH,1776173400,09:30,621.719970703125,622,P,2.07,2.04,False,,,False,,,False,,,True,10:10,STOP,10:10,0.96,-53.623188405797094,-1.449275362318836,616.927,621.66
SPY,2026-04-15,BEARISH,1776259800,09:30,695.75,696,P,1.58,1.57,False,,,False,,,False,,,True,10:26,STOP,10:26,0.79,-50.0,49.68354430379747,693.05,695.6
QQQ,2026-04-15,BEARISH,1776259800,09:30,629.030029296875,629,P,1.64,1.625,False,,,False,,,False,,,True,10:04,STOP,10:04,0.81,-50.60975609756097,22.865853658536594,626.9881,629.775
SPY,2026-04-16,BULLISH,1776346800,09:40,700.8201293945312,701,C,1.24,1.2349999999999999,False,,,False,,,False,,,True,10:18,STOP,10:18,0.62,-50.0,10.080645161290347,699.81,701.99
SPY,2026-04-16,BEARISH,1776352500,11:15,701.3499755859375,701,P,0.93,0.925,False,,,False,,,False,,,True,12:13,STOP,12:13,0.46,-50.53763440860215,31.720430107526877,699.81,701.99
QQQ,2026-04-16,BULLISH,1776346800,09:40,638.1599731445312,638,C,1.64,1.63,True,11:37,3.52,False,,,False,,,False,,TRAIL,12:34,2.33,78.35365853658539,165.5487804878049,636.922,640.3502
QQQ,2026-04-16,BEARISH,1776352200,11:10,639.9400024414062,640,P,1.46,1.455,False,,,False,,,False,,,True,11:59,STOP,11:59,0.71,-51.369863013698634,6.849315068493156,636.922,640.3502
SPY,2026-04-17,BEARISH,1776434400,10:00,708.85498046875,709,P,1.81,1.8050000000000002,False,,,False,,,False,,,True,10:34,STOP,10:34,0.86,-52.48618784530387,-0.2762430939226457,701.66,708.79
QQQ,2026-04-17,BEARISH,1776436500,10:35,648.219970703125,648,P,1.53,1.525,False,,,False,,,False,,,True,11:32,STOP,11:32,0.75,-50.98039215686274,10.457516339869265,639.55,648.5
SPY,2026-04-20,BULLISH,1776696600,10:50,707.77001953125,708,C,1.67,1.665,False,,,False,,,False,,,True,11:04,STOP,11:04,0.83,-50.29940119760479,-0.29940119760478723,706.14,710.14
SPY,2026-04-20,BEARISH,1776693300,09:55,709.6699829101562,710,P,1.8,1.795,True,11:06,3.6950000000000003,False,,,False,,,False,,TRAIL,13:15,2.11,61.25000000000001,120.27777777777774,706.14,710.14
QQQ,2026-04-20,BULLISH,1776696000,10:40,645.60498046875,646,C,1.72,1.7149999999999999,False,,,False,,,False,,,True,10:57,STOP,10:57,0.79,-54.06976744186046,-0.29069767441861627,645.215,649.336
SPY,2026-04-21,BULLISH,1776778200,09:30,709.4000244140625,709,C,1.94,1.9249999999999998,False,,,False,,,False,,,True,10:59,STOP,10:59,0.9,-53.608247422680414,39.43298969072166,708.72,712.28
QQQ,2026-04-21,BULLISH,1776778500,09:35,646.7698974609375,647,C,2.03,2.0199999999999996,False,,,False,,,False,,,True,11:04,STOP,11:04,0.96,-52.70935960591133,73.89162561576354,646.305,650.59
SPY,2026-04-22,BEARISH,1776865500,09:45,708.6500244140625,709,P,1.64,1.6349999999999998,False,,,False,,,False,,,True,10:22,STOP,10:22,0.79,-51.82926829268292,7.621951219512213,704.08,709.74
QQQ,2026-04-22,BEARISH,1776864600,09:30,648.8099975585938,649,P,1.68,1.66,False,,,False,,,False,,,True,10:16,STOP,10:16,0.78,-53.57142857142857,20.238095238095212,644.33,650.6135
SPY,2026-04-23,BULLISH,1776964500,13:15,706.5499877929688,707,C,1.99,1.98,False,,,False,,,False,,,True,13:41,STOP,13:41,0.9,-54.77386934673366,-0.5025125628140725,706.49,711.21
SPY,2026-04-23,BEARISH,1776951900,09:45,710.9600219726562,711,P,1.62,1.5950000000000002,False,,,False,,,False,,,True,10:56,STOP,10:56,0.78,-51.85185185185185,33.64197530864197,706.49,711.21
QQQ,2026-04-23,BULLISH,1776964500,13:15,650.360107421875,650,C,2.82,2.795,False,,,False,,,False,,,True,13:41,STOP,13:41,1.32,-53.191489361702125,-0.886524822695034,650.5195,655.601
QQQ,2026-04-23,BEARISH,1776951900,09:45,655.1058959960938,655,P,1.99,1.97,False,,,False,,,False,,,True,11:04,STOP,11:04,0.97,-51.256281407035175,51.256281407035175,650.5195,655.601
SPY,2026-04-24,BEARISH,1777045200,11:40,713.3099975585938,713,P,1.76,1.755,False,,,False,,,False,,,True,11:51,STOP,11:51,0.81,-53.97727272727273,-0.28409090909091717,655.34,713.38
QQQ,2026-04-24,BEARISH,1777045200,11:40,662.719970703125,663,P,2.46,2.435,False,,,False,,,False,,,True,11:51,STOP,11:51,1.22,-50.40650406504065,-1.0162601626016232,583.69,662.1324
SPY,2026-04-27,BULLISH,1777297500,09:45,712.89501953125,713,C,1.75,1.74,False,,,False,,,False,,,True,11:22,STOP,11:22,0.87,-50.28571428571429,11.714285714285722,712.5,715.06
SPY,2026-04-27,BEARISH,1777310400,13:20,714.3699951171875,714,P,0.74,0.735,False,,,False,,,False,,,True,13:34,STOP,13:34,0.37,-50.0,3.378378378378377,712.5,715.06
SPY,2026-04-28,BULLISH,1777386900,10:35,710.0889892578125,710,C,1.87,1.8650000000000002,False,,,False,,,False,,,True,11:49,STOP,11:49,0.92,-50.80213903743316,-0.267379679144375,709.41,715.92
QQQ,2026-04-28,BULLISH,1777386900,10:35,655.3101196289062,655,C,3.0,2.9850000000000003,False,,,False,,,False,,,True,10:51,STOP,10:51,1.42,-52.66666666666667,-0.49999999999998934,654.5,664.728
