ticker,day,ts,time,direction,tier,spot,floor,king,regime,ratio,zgl,spot_minus_zgl,avwap_prior_low,spot_minus_avwap,pc_iv_ratio,pc_iv_ratio_z,entry,p15,p30,p60,eod,ret_15m,ret_30m,ret_60m,ret_eod,opt_strike,opt_right,opt_entry,opt_entry_t,opt_30m_bid,opt_60m_bid,opt_eod_bid,opt_30m_pnl,opt_60m_pnl,opt_eod_pnl,opt_mfe
SPY,2026-04-14,1776175560,10:06,BEARISH,A,689.595,686.0,690.0,POS,4.246732936552868,683.0,6.595000000000027,689.1464869216029,0.4485130783971272,1.6806917521972944,-0.34026870337929355,689.9751,690.97,691.25,691.025,694.4,-0.14419360930562064,-0.18477478390162005,-0.15216491145839672,-0.6413129981067467,690,P,1.26,10:06,0.6,0.53,0.01,-52.38095238095239,-57.93650793650793,-99.20634920634922,0.0
QQQ,2026-04-14,1776175800,10:10,BEARISH,A,622.3,621.0,620.0,POS,16.19628638442178,609.0,13.299999999999955,621.9437602749564,0.35623972504356516,1.5973372337880813,6.660176409708416,622.65,623.36,623.2096,623.15,628.57,-0.11402874809283148,-0.08987392596162547,-0.08030193527663876,-0.950774913675434,622,P,0.97,10:10,0.62,0.63,0.0,-36.082474226804116,-35.051546391752574,,10.880829015544059
SPX,2026-04-14,1776175560,10:06,BEARISH,A,6919.98,6850.0,6900.0,POS,3.733967700920774,6810.0,109.97999999999956,6917.774164460879,2.205835539120926,0.9543372941266941,-9.651797854797803,6923.59,6934.61,6936.79,6933.85,6967.4,-0.15916598181000552,-0.19065253719530162,-0.1481890175472511,-0.6327642162519576,6920,P,10.5,10:06,4.8,4.2,0.0,-54.28571428571429,-60.0,,0.0
SPX,2026-04-15,1776263100,10:25,BEARISH,A,6983.68,6975.0,7000.0,POS,22.10649013788413,6875.0,108.68000000000029,6980.157116032006,3.5228839679939483,1.7262588211597927,39.39907691624724,6991.1,6988.39,6991.63,6997.93,7022.9,0.03876357082576165,-0.007581067357054216,-0.0976956416014696,-0.45486404142409675,6985,P,8.8,10:25,7.6,4.9,0.0,-13.636363636363647,-44.31818181818182,,30.85714285714285
SPY,2026-04-16,1776347520,09:52,BULLISH,A,700.5522,699.0,700.0,POS,3.7459170812790537,694.0,6.552199999999971,699.6633333333333,0.8888666666666722,0.9702769196151774,-2.171064318617336,699.52,699.7,698.8899,699.87,701.55,0.025731930466621478,-0.09007605215004544,0.0500343092406208,0.29019899359561396,701,C,0.96,09:52,0.59,0.79,0.72,-38.541666666666664,-17.708333333333325,-25.0,116.75392670157069
QQQ,2026-04-16,1776347700,09:55,BULLISH,A,637.71,635.0,640.0,POS,4.854988988065133,627.0,10.710000000000036,635.7316333333333,1.978366666666716,0.7343598333548083,-1.6369912316497253,635.9699,637.27,636.59,638.226,640.41,0.2044279139625793,0.09750461460518167,0.3547494936474216,0.6981619727600252,638,C,0.91,09:55,1.11,1.82,2.12,21.97802197802199,100.0,132.967032967033,381.21546961325976
SPX,2026-04-16,1776347520,09:52,BULLISH,A,7029.24,7000.0,7050.0,POS,8.23715944504735,6900.0,129.23999999999978,7020.406666666667,8.83333333333303,1.4417460372970416,0.28445368239572494,7018.74,7021.42,7012.62,7022.34,7041.09,0.03818349162385548,-0.08719513758879138,0.05129125740517271,0.3184332230571352,7030,C,10.6,09:52,6.5,8.7,9.6,-38.67924528301887,-17.9245283018868,-9.433962264150942,123.33333333333334
QQQ,2026-04-20,1776694320,10:12,BULLISH,B,647.0301,645.0,655.0,POS,1.871824697924565,645.0,2.0300999999999476,647.2188094141737,-0.18870941417378617,0.9016271377296081,-1.4390875092994053,647.071,646.86,645.68,643.56,646.8,-0.03260847727684091,-0.21496868195299834,-0.5425988801847192,-0.0418810300569894,647,C,1.5,10:12,0.92,0.38,0.08,-38.66666666666666,-74.66666666666666,-94.66666666666667,16.053511705685608
SPX,2026-04-20,1776693420,09:57,BEARISH,A,7117.28,7100.0,7150.0,POS,3.8400379095756234,7070.0,47.279999999999745,7114.444964902573,2.835035097426953,1.0012670773825378,-0.5378544354884949,7122.15,7114.53,7116.35,7096.81,7109.17,0.10699016448684207,0.08143608320519968,0.3557914393827577,0.1822483379316564,7115,P,10.5,09:57,10.4,24.8,10.8,-0.952380952380949,136.1904761904762,2.857142857142869,205.7416267942584
SPX,2026-04-20,1776695220,10:27,BEARISH,A,7117.45,7010.0,7150.0,POS,2.043090454391824,7065.0,52.44999999999982,7116.019282247207,1.4307177527925887,1.5908223457375865,2.5346090928130116,7116.35,7103.81,7096.81,7103.75,7109.17,0.17621392989383144,0.27457896252994773,0.17705705874501154,0.10089441918961217,7115,P,10.5,10:27,24.8,18.1,10.8,136.1904761904762,72.3809523809524,2.857142857142869,205.7416267942584
SPY,2026-04-21,1776783180,10:53,BEARISH,B,708.83,705.0,710.0,POS,1.3334306777936649,707.0,1.830000000000041,708.9611275766164,-0.13112757661633623,1.0244771962399908,-0.9394567023541303,709.205,707.46,707.3,706.5664,704.15,0.2460501547507432,0.2686106273926514,0.3720503944557585,0.7127699325300996,709,P,1.22,10:53,2.0,2.66,5.13,63.934426229508205,118.0327868852459,320.4918032786885,379.0123456790124
QQQ,2026-04-21,1776781560,10:26,BEARISH,A,648.98,645.0,650.0,POS,2.4463694199234607,644.0,4.980000000000018,648.2045231981862,0.775476801813852,1.257467770229067,-0.39124455894885635,649.1297,648.99,647.8,646.33,644.3,0.021521122820289396,0.2048435004591509,0.4313005551894955,0.7440269641028618,649,P,1.49,10:26,2.03,2.75,5.6,36.24161073825503,84.56375838926175,275.83892617449663,326.2626262626263
SPY,2026-04-22,1776867240,10:14,BEARISH,B,709.69,705.0,710.0,NEG,0.8062718661006649,709.0,0.6900000000000546,709.1561706061538,0.5338293938463039,1.6150178061880849,4.08662828791128,710.1,710.52,709.72,709.84,711.21,-0.059146599070558636,0.053513589635256764,0.036614561329384454,-0.1563160118293272,710,P,1.47,10:14,1.49,1.27,0.1,1.3605442176870763,-13.605442176870742,-93.19727891156462,9.55631399317407
QQQ,2026-04-22,1776866220,09:57,BULLISH,B,648.98,645.0,650.0,POS,1.802790098354669,646.0,2.980000000000018,649.3113867035627,-0.3313867035626572,1.3654748246858603,0.20441011922775001,649.45,650.46,652.45,652.27,655.08,0.15551620602047844,0.46192932481330384,0.43421356532449273,0.8668873662329712,649,C,2.01,09:57,4.06,3.8,6.05,101.99004975124377,89.05472636815921,200.9950248756219,212.75
QQQ,2026-04-22,1776866820,10:07,BEARISH,A,650.3,645.0,650.0,POS,2.003327736072387,646.0,4.2999999999999545,649.8870806700145,0.41291932998547054,1.3454605049611446,0.10107425168662337,650.66,652.0935,652.64,652.36,655.08,-0.2203147573233366,-0.3043063965819437,-0.2612731687824832,-0.6793102388344296,650,P,1.63,10:07,0.82,0.86,0.02,-49.693251533742334,-47.23926380368098,-98.77300613496932,0.0
SPX,2026-04-22,1776867240,10:14,BEARISH,A,7120.82,7100.0,7150.0,POS,1.8670737625766005,7065.0,55.81999999999971,7114.685060464927,6.13493953507259,1.5167188918775412,1.2516564129275443,7124.88,7129.04,7120.93,7122.4,7137.91,-0.058386948271405004,0.055439530209633325,0.03480760377719827,-0.18288027307127308,7120,P,12.5,10:14,12.5,10.4,0.0,0.0,-16.799999999999994,,8.433734939759052
SPX,2026-04-22,1776877920,13:12,BULLISH,A,7118.91,7100.0,7150.0,POS,5.192249524815085,7070.0,48.909999999999854,7120.214323760714,-1.3043237607143965,1.4512969967549245,0.8836354622320178,7125.51,7125.86,7126.76,7124.47,7137.91,0.00491192911102889,0.017542603968001558,-0.014595446501375342,0.17402263136252483,7120,C,10.6,13:12,9.3,7.0,13.5,-12.264150943396213,-33.96226415094339,27.35849056603774,33.33333333333333
SPY,2026-04-23,1776953400,10:10,BULLISH,A,709.82,707.0,715.0,NEG,0.6613125498912243,711.0,-1.17999999999995,709.9339780353196,-0.11397803531951922,1.390589606533428,0.47851292899055353,710.19,710.7765,710.68,711.84,708.44,0.08258353398387097,0.06899562089017763,0.23233219279348294,-0.24641293175066137,710,C,1.47,10:10,1.57,2.22,0.09,6.802721088435382,51.020408163265316,-93.87755102040816,78.4982935153584
SPY,2026-04-23,1776963660,13:01,BULLISH,B,711.15,710.0,715.0,NEG,0.8647813286633168,711.0,0.14999999999997726,711.0257045672546,0.12429543274538446,1.1176836238601018,-10.14923715774627,709.49,706.89,706.2499,707.2,708.44,-0.3664604152278428,-0.4566801505306639,-0.3227670580275954,-0.14799362922661707,711,C,0.82,13:01,0.17,0.2,0.03,-79.26829268292683,-75.60975609756098,-96.34146341463415,0.0
QQQ,2026-04-23,1776964020,13:07,BULLISH,A,655.68,655.0,665.0,POS,2.1447994852757284,653.0,2.67999999999995,654.606960665872,1.0730393341279978,1.12754105034253,-1.0107074756573793,653.13,650.15,649.88,651.5,651.41,-0.45626444965014556,-0.4976038460949628,-0.2495674674260817,-0.2633472662410319,656,C,0.27,13:07,0.13,0.22,0.0,-51.85185185185186,-18.518518518518523,,3.7735849056603765
SPX,2026-04-23,1776952260,09:51,BULLISH,A,7132.86,7130.0,7200.0,POS,3.1724964630000954,7080.0,52.85999999999967,7126.03518595136,6.824814048639382,1.3671816093083624,-8.102762276279053,7131.0,7122.29,7128.02,7135.96,7108.31,-0.12214275697658428,-0.04178937035478336,0.06955546206703911,-0.31818819239938234,7135,C,10.3,09:51,8.1,10.6,0.0,-21.359223300970886,2.9126213592232997,,61.274509803921575
SPY,2026-04-24,1777039620,10:07,BEARISH,B,709.4775,708.0,710.0,NEG,0.662484080378446,713.0,-3.5225000000000364,709.6112608746199,-0.13376087461995212,1.6025686400969674,1.4847650646161374,709.65,710.36,710.02,711.42,713.98,-0.10004932008738088,-0.052138378073696146,-0.24941872754173922,-0.6101599379976008,709,P,1.22,10:07,0.86,0.53,0.02,-29.508196721311474,-56.557377049180324,-98.36065573770492,2.880658436214012
SPY,2026-04-24,1777040040,10:14,BULLISH,A,709.8,708.0,710.0,NEG,0.6917621820168678,712.0,-2.2000000000000455,709.7904272316307,0.009572768369253026,1.6254296440334606,1.0524623022469726,710.05,709.86,710.99,711.77,713.98,-0.026758678966265492,0.13238504330681522,0.24223646222096828,0.5534821491444353,710,C,1.64,10:14,1.78,2.28,3.95,8.536585365853666,39.02439024390243,140.85365853658539,167.88990825688077
QQQ,2026-04-24,1777038780,09:53,BEARISH,A,658.94,655.0,660.0,POS,2.513826457927079,651.0,7.940000000000055,658.6497834219622,0.29021657803787093,0.8593810581755216,-7.246591703985164,658.16,658.43,658.975,659.94,663.93,-0.0410234593411829,-0.12383007171510307,-0.2704509541752831,-0.876686519995129,659,P,2.17,09:53,1.62,1.05,0.01,-25.34562211981566,-51.61290322580645,-99.53917050691244,38.888888888888886
QQQ,2026-04-24,1777040820,10:27,BEARISH,A,658.899,655.0,660.0,POS,2.6246462688213192,650.0,8.899000000000001,658.5881166582344,0.31088334176558874,0.8960494052540433,-1.261457200235892,658.11,658.9001,660.52,660.97,663.93,-0.12005591770372082,-0.36620017930133475,-0.4345778061418226,-0.8843506404704327,659,P,2.0,10:27,0.9,0.68,0.01,-55.00000000000001,-65.99999999999999,-99.5,23.425692695214128
SPX,2026-04-24,1777039620,10:07,BULLISH,B,7117.9,7110.0,7200.0,POS,1.2680065996093663,7090.0,27.899999999999636,7119.363904526402,-1.4639045264020751,0.922364136647193,-0.8092450894342128,7120.04,7125.91,7123.63,7137.63,7164.99,0.08244335705978045,0.050421065050199054,0.24704917388105319,0.6313166779961854,7120,C,15.8,10:07,17.1,22.1,43.8,8.227848101265822,39.873417721519,177.2151898734177,201.5923566878981
SPX,2026-04-24,1777041360,10:36,BEARISH,A,7120.48,7120.0,7150.0,POS,2.8874002315512675,7085.0,35.47999999999956,7122.745040858538,-2.2650408585386685,1.0334423249554314,-0.799938171166525,7126.9,7135.38,7135.92,7141.91,7164.99,-0.11898581430918043,-0.12656274116376043,-0.21061050386563807,-0.5344539701693574,7120,P,11.0,10:36,5.8,4.0,0.0,-47.27272727272728,-63.63636363636363,,5.936073059360725
